layer,n_removed,delta_loss_mean,delta_loss_std,delta_loss_median,delta_loss_p25,delta_loss_p75,delta_loss_p95,pct_positive,pct_weight_removed_mean,n_samples,baseline_loss_mean
0,1,0.008692195177078248,0.1547071153325103,0.0,-0.0274658203125,0.03125,0.2032226562499999,0.498,0.26186511081457137,500,2.498804995775223
0,2,0.013077962636947632,0.22142476821339305,0.0004706382751464844,-0.0390625,0.043060302734375,0.311621093749999,0.524,0.4375824122428894,500,2.498804995775223
0,3,0.016347461700439454,0.2598112306455466,-0.0004062652587890625,-0.048583984375,0.04285430908203125,0.27348632812499996,0.472,0.572640439197421,500,2.498804995775223
0,4,0.018637484788894654,0.28350138343357356,0.00020259618759155273,-0.055908203125,0.054718017578125,0.3712890624999998,0.514,0.6835565506219864,500,2.498804995775223
0,5,0.02885941982269287,0.3860434281120457,0.0007233619689941406,-0.0673828125,0.06640625,0.376074218749999,0.52,0.777419939160347,500,2.498804995775223
0,6,0.020707345962524413,0.4038976486264486,0.0,-0.0648193359375,0.080078125,0.37890625,0.498,0.8596520316079259,500,2.498804995775223
0,7,0.02792927622795105,0.43650361287135053,0.00029581785202026367,-0.062530517578125,0.08648681640625,0.4333251953124998,0.512,0.9330763172954321,500,2.498804995775223
1,1,0.017918524026870726,0.2779498558547488,0.00054931640625,-0.02679443359375,0.0513916015625,0.23452148437499987,0.532,0.2412271993160248,500,2.498804995775223
1,2,0.030683321714401246,0.3982058141614797,0.0013608932495117188,-0.04205322265625,0.06103515625,0.31701660156249944,0.548,0.4148158440887928,500,2.498804995775223
1,3,0.0350407235622406,0.40238910477408546,0.00103759765625,-0.04620361328125,0.0714111328125,0.31289062499999964,0.534,0.5528041875809431,500,2.498804995775223
1,4,0.050665022611618045,0.46303980190164457,0.003780364990234375,-0.0390625,0.08203125,0.34980468749999805,0.566,0.6667097361311316,500,2.498804995775223
1,5,0.05819715070724487,0.5161452710533174,0.005675315856933594,-0.037109375,0.09246826171875,0.39775390624999885,0.572,0.7635833568647504,500,2.498804995775223
1,6,0.05824702405929565,0.5367527607629392,0.0036268234252929688,-0.0458984375,0.0909423828125,0.3828125,0.564,0.8495112523958087,500,2.498804995775223
1,7,0.06821652746200561,0.5897928575602812,0.0028352737426757812,-0.057708740234375,0.091552734375,0.3984375,0.556,0.9274543238170445,500,2.498804995775223
7,1,0.008562430381774903,0.20290997076260095,3.874301910400391e-06,-0.041259765625,0.0546875,0.2868896484374984,0.502,0.21286380103230476,500,2.498804995775223
7,2,0.016161596298217774,0.223250658306816,0.0009765625,-0.04296875,0.078369140625,0.37114257812499996,0.52,0.37765653873980043,500,2.498804995775223
7,3,0.009897838354110717,0.25325526723842867,0.0003268718719482422,-0.06591796875,0.08465576171875,0.39873046874999973,0.522,0.5181457906365394,500,2.498804995775223
7,4,0.022464232206344605,0.26583024753098283,0.00171661376953125,-0.05859375,0.106689453125,0.41804199218749993,0.54,0.639870972290635,500,2.498804995775223
7,5,0.02167720293998718,0.2810590535381073,0.0006601810455322266,-0.06646728515625,0.1094970703125,0.48464355468749976,0.528,0.7464032975286246,500,2.498804995775223
7,6,0.025224368810653687,0.2980605745000717,0.0008988380432128906,-0.062286376953125,0.1070556640625,0.43417968749999947,0.524,0.8405619011968374,500,2.498804995775223
7,7,0.019785722970962524,0.30514852202527304,0.0008563995361328125,-0.061492919921875,0.10791015625,0.47253417968749967,0.518,0.9242955846861005,500,2.498804995775223
8,1,0.014502985715866088,0.22401762462881467,0.0009969472885131836,-0.03656005859375,0.05810546875,0.27792968749999947,0.542,0.2058654478788376,500,2.498804995775223
8,2,0.028479672193527223,0.2618128559240966,0.004344940185546875,-0.04498291015625,0.09820175170898438,0.3686035156249978,0.574,0.3706555994749069,500,2.498804995775223
8,3,0.045452640771865845,0.32783356641209455,0.0031528472900390625,-0.0438232421875,0.109375,0.5320312499999993,0.578,0.5109838384538888,500,2.498804995775223
8,4,0.05376357245445251,0.34861679447858956,0.0060272216796875,-0.0390625,0.12451171875,0.5783203124999998,0.586,0.633494376540184,500,2.498804995775223
8,5,0.060656655073165894,0.37093652510280706,0.006747841835021973,-0.0391845703125,0.120758056640625,0.5637939453124993,0.58,0.7416092590391636,500,2.498804995775223
8,6,0.061872369289398196,0.37699257229505734,0.004913330078125,-0.0394287109375,0.1253662109375,0.5869140624999991,0.574,0.8374353547915816,500,2.498804995775223
8,7,0.06962926006317138,0.40215556928733964,0.008258819580078125,-0.046875,0.11767578125,0.6411132812499996,0.582,0.9235540789291262,500,2.498804995775223
9,1,0.028720988750457765,0.26196265196239943,0.0007381439208984375,-0.0400390625,0.064453125,0.39453125,0.53,0.20773798304796218,500,2.498804995775223
9,2,0.05958050298690796,0.37070396587748067,0.006038665771484375,-0.04693603515625,0.11651611328125,0.5170654296874987,0.572,0.37181054854393003,500,2.498804995775223
9,3,0.06106256341934204,0.39872809209904825,0.005401611328125,-0.05462646484375,0.125,0.6214843749999996,0.57,0.5129561360031366,500,2.498804995775223
9,4,0.07290004110336304,0.41839701484777553,0.007598876953125,-0.072265625,0.139892578125,0.5967773437499972,0.572,0.6369125330150127,500,2.498804995775223
9,5,0.08033415126800537,0.45071242092805736,0.0080413818359375,-0.06884765625,0.149169921875,0.7110351562499999,0.566,0.7463102922961116,500,2.498804995775223
